"student_track_id","student_id","track_name","date_enrolled","track_completed","days_for_completion","completion_bucket"
3757,262709,Data Analyst,2022-02-05,0,,
3758,262714,Data Scientist,2022-02-20,0,,
3759,262718,Data Scientist,2022-02-05,0,,
3760,262720,Data Analyst,2022-02-05,0,,
3761,262720,Data Scientist,2022-02-05,0,,
3762,262726,Data Analyst,2022-02-11,0,,
3763,262730,Data Scientist,2022-02-05,0,,
3764,262737,Business Analyst,2022-03-16,0,,
3765,262738,Data Analyst,2022-02-05,0,,
3766,262738,Data Scientist,2022-02-05,0,,
3767,262739,Data Analyst,2022-02-05,0,,
3768,262747,Data Analyst,2022-02-05,0,,
3769,262755,Data Analyst,2022-02-05,0,,
3770,262761,Data Scientist,2022-07-21,0,,
3771,262762,Data Analyst,2022-02-05,0,,
3772,262763,Data Analyst,2022-02-05,0,,
3773,262778,Data Analyst,2022-02-05,0,,
3774,262779,Data Scientist,2022-02-07,0,,
3775,262784,Data Scientist,2022-02-06,0,,
3776,262790,Business Analyst,2022-02-05,0,,
3777,262794,Data Scientist,2022-02-05,0,,
3778,262796,Data Scientist,2022-02-05,0,,
3779,262805,Data Scientist,2022-02-06,0,,
3780,262806,Data Analyst,2022-03-26,0,,
3781,262819,Data Scientist,2022-02-08,0,,
3782,262820,Data Analyst,2022-02-06,0,,
3783,262826,Data Scientist,2022-02-06,0,,
3784,262827,Data Scientist,2022-02-06,0,,
3785,262832,Data Analyst,2022-02-06,0,,
3786,262835,Data Analyst,2022-02-06,0,,
3787,262835,Data Scientist,2022-02-06,0,,
3788,262837,Data Analyst,2022-02-06,0,,
3789,262838,Data Scientist,2022-02-06,0,,
3790,262854,Data Scientist,2022-02-06,0,,
3791,262856,Data Scientist,2022-02-06,0,,
3792,262858,Data Scientist,2022-02-06,0,,
3793,262861,Data Scientist,2022-08-30,0,,
3794,262862,Data Analyst,2022-02-06,0,,
3795,262870,Data Analyst,2022-02-11,0,,
3796,262875,Data Analyst,2022-02-06,0,,
3797,262875,Data Scientist,2022-02-06,0,,
3798,262876,Data Analyst,2022-02-06,0,,
3799,262876,Data Scientist,2022-10-20,0,,
3800,262880,Data Analyst,2022-02-06,0,,
3801,262885,Data Analyst,2022-02-06,0,,
3802,262891,Data Analyst,2022-02-08,0,,
3803,262891,Data Scientist,2022-02-07,0,,
3804,262900,Data Scientist,2022-02-07,0,,
3805,262901,Data Scientist,2022-02-21,0,,
3806,262907,Data Scientist,2022-02-11,0,,
